Date,Open,High,Low,Close,Volume
9/1/2022,28,28.91,26.95,27.63,"5,293,858"
8/31/2022,29.25,29.96,28.26,28.64,"5,157,027"
8/30/2022,31.62,31.87,29.42,29.84,"5,060,206"
8/29/2022,30.48,32.75,30.38,31.55,"4,292,686"
8/26/2022,31.5,32.38,30.63,30.94,"4,297,295"
8/25/2022,32.84,32.89,31.5,31.96,"4,726,286"
8/24/2022,34,34.94,32.44,32.5,"5,620,333"
8/23/2022,34.7,34.99,33.45,33.53,"4,836,309"
8/22/2022,34.31,36.2,34.2,34.5,"5,798,630"
8/19/2022,35.18,37.19,34.67,36.49,"9,551,861"
8/18/2022,39.27,40.07,37.34,37.93,"8,145,446"
8/17/2022,42.18,44.36,40.41,40.52,"9,766,448"
8/16/2022,39.17,45.53,38.6,42.19,"23,602,779"
8/15/2022,39.75,40.39,38.81,39.68,"5,243,088"
8/12/2022,40,41.43,39.15,40.74,"5,120,040"
8/11/2022,40.91,41.97,39.35,39.45,"5,140,480"
8/10/2022,42,42,38.63,40.53,"5,434,675"
8/9/2022,42.14,43.19,39,40.37,"6,954,188"
8/8/2022,41.29,47.99,40.75,43.45,"18,045,600"
8/5/2022,37.37,40.43,36.56,40.02,"8,124,235"
8/4/2022,38.34,39.89,37.89,38.36,"5,421,500"
8/3/2022,36.22,38.01,36,37.93,"5,186,482"
8/2/2022,35.9,36.8,35.12,35.84,"4,697,134"
8/1/2022,33.8,35.71,33.77,34.78,"4,196,630"
7/29/2022,33.68,34.79,33.06,34.01,"3,988,750"
7/28/2022,33.39,34.43,32.66,33.84,"3,207,363"
7/27/2022,32.96,34.12,32.16,33.78,"4,251,215"
7/26/2022,32.87,33.31,32.1,32.43,"4,866,070"
7/25/2022,35,35.51,33.25,33.98,"5,686,259"
7/22/2022,36.88,38.7,34.93,35.78,"10,060,250"
7/21/2022,39.93,40,37.29,38.37,"9,277,796"
7/20/2022,38.5,40.41,38.35,39.69,"11,400,292"
7/19/2022,37.44,39.21,36.59,37.93,"12,827,820"
7/18/2022,36.25,37.4,35.77,36.66,"11,155,132"
7/15/2022,34.86,35.59,33.51,35.41,"9,832,472"
7/14/2022,34.8,37.99,34.05,34.05,"20,970,208"
7/13/2022,33.75,36.34,33.75,35.32,"13,703,788"
7/12/2022,32.7,35.65,31.82,34.28,"16,899,680"
7/11/2022,32.14,32.94,31.16,32.52,"7,558,344"
7/8/2022,31.67,33.17,30.63,32.14,"13,199,444"
7/7/2022,31.12,33.88,30.45,33.78,"30,313,564"
7/6/2022,30.17,30.57,28.34,29.36,"9,988,996"
7/5/2022,30.38,30.62,29.75,30.06,"6,045,760"
7/1/2022,30.28,31.29,29.82,30.86,"6,617,116"
6/30/2022,29.84,31.65,29.44,30.58,"6,718,672"
6/29/2022,30.39,31.62,29.9,30.72,"6,826,496"
6/28/2022,32.75,32.83,30.57,31.1,"6,621,596"
6/27/2022,34.12,34.26,31.83,32.42,"9,745,448"
6/24/2022,35.75,37.09,32.88,33.8,"16,995,764"
6/23/2022,35.41,36,34.18,35.51,"6,682,900"
6/22/2022,34.67,36.18,34.11,34.62,"7,846,916"
6/21/2022,34.56,36.35,33.88,35.07,"12,512,268"
6/17/2022,31.72,33.96,31.58,33.79,"12,340,908"
6/16/2022,31.24,32.32,30.15,31.43,"9,995,056"
6/15/2022,31.24,32.99,30.91,32.32,"10,764,284"
6/14/2022,29.39,32,29.03,31.54,"12,739,140"
6/13/2022,30.13,31.14,28.58,29.56,"13,792,816"
6/10/2022,31.5,32.98,30.79,32.27,"11,830,196"
6/9/2022,34.7,34.98,31.84,32.25,"13,135,252"
6/8/2022,35.35,38.25,33.96,34.68,"24,473,520"
6/7/2022,32.5,37.47,31.58,36.63,"24,967,468"
6/6/2022,33.83,34.03,31.76,32.03,"9,532,920"
6/3/2022,32.5,34.53,31.06,33.43,"18,234,452"
6/2/2022,29.75,34.13,28.89,33.5,"27,918,764"
6/1/2022,30.71,32.4,29.25,30.35,"14,991,732"
5/31/2022,34.3,34.98,30.13,31.19,"19,084,328"
5/27/2022,35.25,35.93,31.75,34.3,"30,045,076"
5/26/2022,29,37.12,28.68,32.12,"57,892,320"
5/25/2022,22.54,28.87,22.54,28.79,"40,060,000"
5/24/2022,23.51,23.55,21.68,22.29,"8,879,480"
